Bag number,,,Volume,Raw,Dilution,Volume,Raw,Dilution,Volume,,
9,7/31/2018,5-50,17,0.7025,1.4050,0.0239,0.1006,0.2012,0.0034204,Stick was halfway in bottle,
9,7/31/2018,6-10,4.5,1.8470,3.6940,0.0166,0.1836,0.3672,0.0016524,,
9,7/31/2018,6-30,5,1.6030,3.2060,0.0160,0.1333,0.2666,0.001333,,
9,7/31/2018,6-50,6,10.9200,21.8400,0.1310,0.4879,0.9758,0.0058548,,
10,8/14/2018,1-10,0,,,,,,,Issue with tubing,
10,8/14/2018,1-30,1,,,,,,,,
10,8/14/2018,1-50,<1,,,,,,,Less than,
10,8/14/2018,2-10,<1,,,,,,,Less than,
10,8/14/2018,2-30,0,,,,,,,,
10,8/14/2018,2-50,7,1.1080,2.2160,0.0155,0.1078,0.2156,0.0015092,,
10,8/14/2018,3-10,1,,,,,,,,
10,8/14/2018,3-30,>1,,,,,,,Greater than,
10,8/14/2018,3-50,>1,,,,,,,Greater than,
10,8/14/2018,4-10,3,,,,,,,,
10,8/14/2018,4-30,8,0.5849,1.1698,0.0094,0.0250,0.0499,0.00039952,,
10,8/14/2018,4-50,0,,,,,,,,
10,8/14/2018,5-10,10,1.2220,2.4440,0.0244,0.0486,0.0971,0.0009714,,
10,8/14/2018,5-30,0,,,,,,,,
10,8/14/2018,5-50,4.5,1.0990,2.1980,0.0099,0.0670,0.1341,0.00060336,,
10,8/14/2018,6-10,6,1.4450,2.8900,0.0173,0.0497,0.0994,0.00059616,,
10,8/14/2018,6-30,4,,,,,,,,
10,8/14/2018,6-50,11,12.1500,24.3000,0.2673,0.2700,0.5400,0.00594,,
10,8/28/2018,1-10,0,,,,,,,Lysimeter was broken; replaced 30-Aug-2018 (wrote 0.0 on field notebook),
10,8/28/2018,1-30,22.5,0.6652,1.3304,0.0299,0.0868,0.1737,0.00390735,,
10,8/28/2018,1-50,53,0.8980,1.7960,0.0952,0.0525,0.1050,0.00556394,,
10,8/28/2018,2-10,35,0.9402,1.8804,0.0658,0.0713,0.1425,0.0049889,,
10,8/28/2018,2-30,7,0.7767,1.5534,0.0109,0.0729,0.1457,0.00102004,,
10,8/28/2018,2-50,29,1.1880,2.3760,0.0689,0.0636,0.1272,0.00368996,,
10,8/28/2018,3-10,17,1.0530,2.1060,0.0358,0.0715,0.1431,0.00243236,,
10,8/28/2018,3-30,25,0.3566,0.7132,0.0178,0.0339,0.0678,0.001695,,
10,8/28/2018,3-50,17.5,0.7226,1.4452,0.0253,0.0400,0.0799,0.00139895,,
10,8/28/2018,4-10,12,2.0650,4.1300,0.0496,0.1161,0.2322,0.0027864,,
10,8/28/2018,4-30,4.5,8.8380,17.6760,0.0795,0.1649,0.3298,0.0014841,,
10,8/28/2018,4-50,6.5,1.0070,2.0140,0.0131,0.0770,0.1539,0.00100061,,
10,8/28/2018,5-10,54,1.0420,2.0840,0.1125,0.0717,0.1434,0.00774144,.30 ml syringe used approximation based on 70 ml syringe,
10,8/28/2018,5-30,51,0.4616,0.9232,0.0471,0.0378,0.0756,0.00385458,,
10,8/28/2018,5-50,37,0.5776,1.1552,0.0427,0.0700,0.1401,0.00518296,,
10,8/28/2018,6-10,3,,,,,,,,
10,8/28/2018,6-30,6,1.5690,3.1380,0.0188,0.0678,0.1356,0.00081372,,
10,8/28/2018,6-50,20,5.9140,11.8280,0.2366,0.1578,0.3156,0.006312,,
10,9/11/2018,1-10,0,,,,,,,"Point Lysimeter needs to be fixed, no measurement written in field notebook, no vacuum",
10,9/11/2018,1-30,12,0.8749,1.7498,0.0210,0.2586,0.5172,0.0062064,,
10,9/11/2018,1-50,0,,,,,,,,
10,9/11/2018,2-10,4,,,,,,,,
10,9/11/2018,2-30,1,,,,,,,less than,
10,9/11/2018,2-50,15,1.1760,2.3520,0.0353,0.1370,0.2740,0.00411,,
10,9/11/2018,3-10,4,1.6190,3.2380,0.0130,0.8766,1.7532,0.0070128,,
10,9/11/2018,3-30,7,1.0000,2.0000,0.0140,0.3637,0.7274,0.0050918,,
10,9/11/2018,3-50,14,0.7899,1.5798,0.0221,0.1055,0.2110,0.002954,,
10,9/11/2018,4-10,,,,,,,,,
10,9/11/2018,4-30,17,0.9627,1.9254,0.0327,0.3125,0.6250,0.010625,,
10,9/11/2018,4-50,,,,,,,,,
10,9/11/2018,5-10,0,,,,,,,no vacuum?,
10,9/11/2018,5-30,14,0.9345,1.8690,0.0262,0.1628,0.3256,0.0045584,,
10,9/11/2018,5-50,0,,,,,,,,
10,9/11/2018,6-10,9,1.1720,2.3440,0.0211,0.1797,0.3594,0.0032346,,
10,9/11/2018,6-30,4,1.8550,3.7100,0.0148,0.7286,1.4572,0.0058288,,
10,9/11/2018,6-50,12,0.7418,1.4836,0.0178,0.2049,0.4098,0.0049176,,
10,9/25/2018,1-10,0,,,,,,,Replaced on 9/24,
10,9/25/2018,1-30,14,0.9091,1.8182,0.0255,0.1584,0.3168,0.0044352,,
10,9/25/2018,1-50,32,0.5956,1.1912,0.0381,0.0453,0.0907,0.00290112,,
10,9/25/2018,2-10,12,0.8059,1.6118,0.0193,0.1696,0.3392,0.0040704,,
10,9/25/2018,2-30,<1,,,,,,,less than,
10,9/25/2018,2-50,13,1.4420,2.8840,0.0375,0.1648,0.3296,0.0042848,,
10,9/25/2018,3-10,12,1.4260,2.8520,0.0342,0.1129,0.2258,0.0027096,,
10,9/25/2018,3-30,14,1.1700,2.3400,0.0328,0.2145,0.4290,0.006006,,
10,9/25/2018,3-50,15,0.9580,1.9160,0.0287,0.1594,0.3188,0.004782,,
10,9/25/2018,4-10,18,2.5330,5.0660,0.0912,0.2780,0.5560,0.010008,,
10,9/25/2018,4-30,0,,,,,,,,
10,9/25/2018,4-50,5,1.9160,3.8320,0.0192,0.4806,0.9612,0.004806,,
10,9/25/2018,5-10,52,0.7864,1.5728,0.0818,0.1035,0.2070,0.010764,,
10,9/25/2018,5-30,29,0.6345,1.2690,0.0368,0.0681,0.1362,0.00394864,,
10,9/25/2018,5-50,33,0.6591,1.3182,0.0435,0.0906,0.1812,0.0059796,,
10,9/25/2018,6-10,0,,,,,,,"No stick, fell out ",
10,9/25/2018,6-30,3,,,,,,,,
10,9/25/2018,6-50,11,2.0400,4.0800,0.0449,0.1906,0.3812,0.0041932,,
10,10/10/2018,1-10,29,0.8708,1.7416,0.0505,0.0774,0.1547,0.0044863,,
10,10/10/2018,1-30,53,0.2636,0.5272,0.0279,0.0876,0.1752,0.00928454,,
10,10/10/2018,1-50,0,,,,,,,,
10,10/10/2018,2-10,52,0.5076,1.0152,0.0528,0.0376,0.0752,0.00391248,,
10,10/10/2018,2-30,12,1.5890,3.1780,0.0381,0.0993,0.1986,0.00238296,,
10,10/10/2018,2-50,0,,,,,,,,
10,10/10/2018,3-10,24,1.2230,2.4460,0.0587,0.0971,0.1942,0.00466128,,
10,10/10/2018,3-30,54,0.2964,0.5928,0.0320,0.0476,0.0952,0.0051408,,
10,10/10/2018,3-50,29,7.8100,15.6200,0.4530,1.5150,3.0300,0.08787,,
10,10/10/2018,4-10,59,0.8189,1.6378,0.0966,0.0742,0.1484,0.00875678,,
10,10/10/2018,4-30,15,0.6350,1.2700,0.0191,0.2006,0.4012,0.006018,,
10,10/10/2018,4-50,12,1.3300,2.6600,0.0319,0.0854,0.1708,0.00205008,,
10,10/10/2018,5-10,51,0.5484,1.0968,0.0559,0.0745,0.1489,0.0075939,,
10,10/10/2018,5-30,53,0.3997,0.7994,0.0424,0.0758,0.1516,0.0080348,,
10,10/10/2018,5-50,44,0.5317,1.0634,0.0468,0.0926,0.1852,0.00814968,,
10,10/10/2018,6-10,38,0.6909,1.3818,0.0525,0.1159,0.2318,0.0088084,,
10,10/10/2018,6-30,18,2.4890,4.9780,0.0896,0.4857,0.9714,0.0174852,,
10,10/10/2018,6-50,51,0.8933,1.7866,0.0911,0.2047,0.4094,0.0208794,,
11,10/23/2018,1-10,16,1.0140,2.0280,0.0324,0.1003,0.2006,0.0032096,,
11,10/23/2018,1-30,28,0.6386,1.2772,0.0358,0.1529,0.3058,0.0085624,,
11,10/23/2018,1-50,53,0.9424,1.8848,0.0999,0.0991,0.1982,0.01050566,,
11,10/23/2018,2-10,28,1.8390,3.6780,0.1030,0.3404,0.6808,0.0190624,,
11,10/23/2018,2-30,6,1.3240,2.6480,0.0159,0.1874,0.3748,0.0022488,,
11,10/23/2018,2-50,27,1.0720,2.1440,0.0579,0.1212,0.2424,0.0065448,,
11,10/23/2018,3-10,27,1.1670,2.3340,0.0630,0.1749,0.3498,0.0094446,,
11,10/23/2018,3-30,51,0.5717,1.1434,0.0583,0.0741,0.1481,0.0075531,,
11,10/23/2018,3-50,20,1.1250,2.2500,0.0450,0.2903,0.5806,0.011612,,
11,10/23/2018,4-10,34,1.4810,2.9620,0.1007,0.1292,0.2584,0.0087856,,
11,10/23/2018,4-30,10,1.0260,2.0520,0.0205,0.1414,0.2828,0.002828,,
11,10/23/2018,4-50,8,2.3210,4.6420,0.0371,0.1567,0.3134,0.0025072,,
11,10/23/2018,5-10,52,0.9379,1.8758,0.0975,0.1347,0.2694,0.0140088,,
11,10/23/2018,5-30,45,0.5567,1.1134,0.0501,0.0820,0.1639,0.0073764,,
11,10/23/2018,5-50,36,0.8085,1.6170,0.0582,0.0721,0.1442,0.0051912,,
11,10/23/2018,6-10,26,1.1310,2.2620,0.0588,0.2472,0.4944,0.0128544,,
11,10/23/2018,6-30,4,1.7820,3.5640,0.0143,0.4740,0.9480,0.003792,,
11,10/23/2018,6-50,6,1.3610,2.7220,0.0163,0.4431,0.8862,0.0053172,,
11,11/7/2018,1-10,28,0.7923,1.5846,0.0444,0.0550,0.1101,0.00308224,,
11,11/7/2018,1-30,50,0.4898,0.9796,0.0490,0.0911,0.1822,0.009109,,
11,11/7/2018,1-50,49,0.6189,1.2378,0.0607,0.0776,0.1552,0.0076048,,
11,11/7/2018,2-10,42,1.1660,2.3320,0.0979,0.0452,0.0904,0.00379512,,
11,11/7/2018,2-30,0,,,,,,,There was a vacuum,
11,11/7/2018,2-50,53,0.7799,1.5598,0.0827,0.1259,0.2518,0.0133454,,
11,11/7/2018,3-10,32.5,0.6577,1.3154,0.0428,0.0683,0.1365,0.0044369,,
11,11/7/2018,3-30,52,0.5857,1.1714,0.0609,0.0396,0.0792,0.00411736,,
11,11/7/2018,3-50,27,1.0640,2.1280,0.0575,0.1347,0.2694,0.0072738,,
11,11/7/2018,4-10,58,1.2130,2.4260,0.1407,0.2839,0.5678,0.0329324,,
11,11/7/2018,4-30,24,0.5650,1.1300,0.0271,0.0830,0.1660,0.00398352,,
11,11/7/2018,4-50,14,1.3390,2.6780,0.0375,0.1477,0.2954,0.0041356,,
11,11/7/2018,5-10,51.5,0.7364,1.4728,0.0758,0.0541,0.1082,0.00557436,,
11,11/7/2018,5-30,53,0.5656,1.1312,0.0600,0.0788,0.1577,0.00835704,,
11,11/7/2018,5-50,30,0.6816,1.3632,0.0409,0.0679,0.1357,0.0040722,,
11,11/7/2018,6-10,24,1.3920,2.7840,0.0668,1.7020,3.4040,0.081696,line might have mold on inside,
11,11/7/2018,6-30,5,2.3390,4.6780,0.0234,0.1448,0.2896,0.001448,,
11,11/7/2018,6-50,21,0.9381,1.8762,0.0394,0.4812,0.9624,0.0202104,,
11,11/20/2018,1-10,5,2.6680,5.3360,0.0267,1.1650,2.3300,0.01165,,
11,11/20/2018,1-30,18,0.6309,1.2618,0.0227,0.2754,0.5508,0.0099144,,
11,11/20/2018,1-50,<1,,,,,,,less than,
11,11/20/2018,2-10,9,0.8915,1.7830,0.0160,0.4839,0.9678,0.0087102,,
11,11/20/2018,2-30,3,,,,,,,,
11,11/20/2018,2-50,20,3.7300,7.4600,0.1492,1.1350,2.2700,0.0454,,
11,11/20/2018,3-10,11,1.5190,3.0380,0.0334,0.4211,0.8422,0.0092642,,
11,11/20/2018,3-30,18,0.8355,1.6710,0.0301,0.8749,1.7498,0.0314964,,
11,11/20/2018,3-50,0,,,,,,,,
11,11/20/2018,4-10,4,,,,,,,,
11,11/20/2018,4-30,12,1.0450,2.0900,0.0251,0.6740,1.3480,0.016176,,
11,11/20/2018,4-50,3,,,,,,,,
11,11/20/2018,5-10,10,1.0590,2.1180,0.0212,0.4818,0.9636,0.009636,,
11,11/20/2018,5-30,27,1.0260,2.0520,0.0554,0.4693,0.9386,0.0253422,,
11,11/20/2018,5-50,36,0.5283,1.0566,0.0380,0.1744,0.3488,0.0125568,,
11,11/20/2018,6-10,14,1.1700,2.3400,0.0328,0.4807,0.9614,0.0134596,,
11,11/20/2018,6-30,6,1.9130,3.8260,0.0230,1.6460,3.2920,0.019752,,
11,11/20/2018,6-50,16,0.7404,1.4808,0.0237,0.5204,1.0408,0.0166528,,
11,12/4/2018,1-10,0,,,,,,,,
11,12/4/2018,1-30,3,,,,,,,,
11,12/4/2018,1-50,11,1.2020,2.4040,0.0264,0.2845,0.5690,0.006259,,
11,12/4/2018,2-10,<1,,,,,,,less than,
11,12/4/2018,2-30,0,,,,,,,,
11,12/4/2018,2-50,11,1.2890,2.5780,0.0284,0.6427,1.2854,0.0141394,,
11,12/4/2018,3-10,6,10.7900,21.5800,0.1295,1.6180,3.2360,0.019416,,
11,12/4/2018,3-30,6,,,,,,,,
11,12/4/2018,3-50,5,3.1390,6.2780,0.0314,1.2390,2.4780,0.01239,,
11,12/4/2018,4-10,3,,,,,,,,
11,12/4/2018,4-30,1.5,,,,,,,,
11,12/4/2018,4-50,0,,,,,,,,
11,12/4/2018,5-10,15,1.3980,2.7960,0.0419,0.9382,1.8764,0.028146,,
11,12/4/2018,5-30,9,2.1920,4.3840,0.0395,0.3259,0.6518,0.0058662,,
11,12/4/2018,5-50,21,0.8972,1.7944,0.0377,0.2224,0.4448,0.0093408,,
11,12/4/2018,6-10,5,,,,,,,,
11,12/4/2018,6-30,<1,,,,,,,less than,
11,12/4/2018,6-50,0,,,,,,,,
11,12/18/2018,1-10,0,,,,,,,,
11,12/18/2018,1-30,3,,,,,,,,
11,12/18/2018,1-50,1,,,,,,,,
11,12/18/2018,2-10,0,,,,,,,,
11,12/18/2018,2-30,0,,,,,,,,
11,12/18/2018,2-50,8,1.1030,2.2060,0.0176,0.2620,0.5240,0.004192,,
11,12/18/2018,3-10,14,1.0210,2.0420,0.0286,0.1169,0.2338,0.0032732,,
11,12/18/2018,3-30,20.5,0.5123,1.0246,0.0210,0.0740,0.1480,0.003034,,
11,12/18/2018,3-50,10.5,1.5740,3.1480,0.0331,0.1179,0.2358,0.0024759,,
11,12/18/2018,4-10,1,,,,,,,,
11,12/18/2018,4-30,5,3.6690,7.3380,0.0367,0.6926,1.3852,0.006926,,
11,12/18/2018,4-50,0,,,,,,,,
11,12/18/2018,5-10,14,4.0460,8.0920,0.1133,0.2505,0.5010,0.007014,,
11,12/18/2018,5-30,0,,,,,,,,
11,12/18/2018,5-50,16,0.9600,1.9200,0.0307,0.1643,0.3286,0.0052576,,
11,12/18/2018,6-10,0,,,,,,,pvc fell out,
11,12/18/2018,6-30,2,,,,,,,,
11,12/18/2018,6-50,13,1.1360,2.2720,0.0295,0.3068,0.6136,0.0079768,,
12,1/3/2019,1-10,2,,,,,,,,
12,1/3/2019,1-30,12.5,0.6605,1.3210,0.0165,0.5030,1.0060,0.012575,,
12,1/3/2019,1-50,<1,,,,,,,less than,
12,1/3/2019,2-10,0,,,,,,,,
12,1/3/2019,2-30,1.5,,,,,,,,
12,1/3/2019,2-50,5,13.9900,27.9800,0.1399,0.4180,0.8360,0.00418,,
12,1/3/2019,3-10,2.5,,,,,,,,
12,1/3/2019,3-30,16,3.0120,6.0240,0.0964,0.0813,0.1627,0.00260256,,
12,1/3/2019,3-50,11,1.2830,2.5660,0.0282,0.1126,0.2252,0.0024772,,
12,1/3/2019,4-10,0,,,,,,,appeared to be no vacuum when collected,
12,1/3/2019,4-30,8,1.2400,2.4800,0.0198,0.5490,1.0980,0.008784,,
12,1/3/2019,4-50,3,,,,,,,,
12,1/3/2019,5-10,9.5,2.6350,5.2700,0.0501,0.1305,0.2610,0.0024795,,
12,1/3/2019,5-30,16,1.0800,2.1600,0.0346,0.1769,0.3538,0.0056608,,
12,1/3/2019,5-50,33,0.2748,0.5496,0.0181,0.0732,0.1464,0.0048312,,
12,1/3/2019,6-10,10,0.5664,1.1328,0.0113,0.3130,0.6260,0.00626,,
12,1/3/2019,6-30,5,0.8921,1.7842,0.0089,0.2458,0.4916,0.002458,,
12,1/3/2019,6-50,0,,,,,,,,
12,1/15/2019,1-10,0,,,,,,,no obvious suction when removing syringe,
12,1/15/2019,1-30,<1,,,,,,,"no obvious suction when removing syringe, less than",
12,1/15/2019,1-50,0,,,,,,,no obvious suction when removing syringe,
12,1/15/2019,2-10,0,,,,,,,no obvious suction when removing syringe,
12,1/15/2019,2-30,0,,,,,,,had suction,
12,1/15/2019,2-50,12,0.5502,1.1004,0.0132,0.2431,0.4862,0.0058344,,
12,1/15/2019,3-10,11,11.0100,22.0200,0.2422,0.4100,0.8200,0.00902,,
12,1/15/2019,3-30,0,,,,,,,no obvious suction when removing syringe,
12,1/15/2019,3-50,7,1.8010,3.6020,0.0252,0.1366,0.2732,0.0019124,,
12,1/15/2019,4-10,0,,,,,,,no obvious suction when removing syringe,
12,1/15/2019,4-30,0,,,,,,,,
12,1/15/2019,4-50,0,,,,,,,no obvious suction when removing syringe,
12,1/15/2019,5-10,6,0.7201,1.4402,0.0086,0.0654,0.1308,0.00078504,,
12,1/15/2019,5-30,17,0.8098,1.6196,0.0275,0.1902,0.3804,0.0064668,,
12,1/15/2019,5-50,27,0.3590,0.7180,0.0194,0.0844,0.1688,0.00455652,,
12,1/15/2019,6-10,0,,,,,,,had suction,
12,1/15/2019,6-30,<1,,,,,,,less than,
12,1/15/2019,6-50,7,1.8480,3.6960,0.0259,0.8102,1.6204,0.0113428,,
12,1/29/2019,1-10,2,,,,,,,,
12,1/29/2019,1-30,15,1.7370,3.4740,0.0521,0.1221,0.2442,0.003663,,
12,1/29/2019,1-50,0,,,,,,,no obvious suction when removing syringe,
12,1/29/2019,2-10,4,1.5950,3.1900,0.0128,0.1316,0.2632,0.0010528,,
12,1/29/2019,2-30,<1,,,,,,,less than,
12,1/29/2019,2-50,0,,,,,,,,
12,1/29/2019,3-10,0,,,,,,,no suction,
12,1/29/2019,3-30,15,0.7899,1.5798,0.0237,0.0763,0.1525,0.0022875,,
12,1/29/2019,3-50,19,0.7524,1.5048,0.0286,0.0827,0.1654,0.00314184,,
12,1/29/2019,4-10,0,,,,,,,no suction,
12,1/29/2019,4-30,10,0.4934,0.9868,0.0099,0.3548,0.7096,0.007096,,
12,1/29/2019,4-50,4,1.1460,2.2920,0.0092,0.1378,0.2756,0.0011024,,
12,1/29/2019,5-10,9,1.1200,2.2400,0.0202,0.2732,0.5464,0.0049176,,
12,1/29/2019,5-30,14,0.7931,1.5862,0.0222,0.1703,0.3406,0.0047684,,
12,1/29/2019,5-50,25,0.5254,1.0508,0.0263,0.1059,0.2118,0.005295,,
12,1/29/2019,6-10,11,0.8893,1.7786,0.0196,0.5255,1.0510,0.011561,,
12,1/29/2019,6-30,3,,,,,,,,
12,1/29/2019,6-50,16,0.8341,1.6682,0.0267,0.3153,0.6306,0.0100896,,
12,2/13/2019,1-10,<1,,,,,,,less than,
12,2/13/2019,1-30,10,4.1230,8.2460,0.0825,0.5641,1.1282,0.011282,,
12,2/13/2019,1-50,0,,,,,,,,
12,2/13/2019,2-10,5,1.5210,3.0420,0.0152,0.1736,0.3472,0.001736,,
12,2/13/2019,2-30,<1,,,,,,,less than,
12,2/13/2019,2-50,17,0.9108,1.8216,0.0310,0.3144,0.6288,0.0106896,,
12,2/13/2019,3-10,14,3.1700,6.3400,0.0888,0.0866,0.1733,0.00242564,"Many fire ants/eggs in blue tip.  Rinsed out with DI just before attaching syringe, no ants observed next morning",
12,2/13/2019,3-30,<1,,,,,,,less than,
12,2/13/2019,3-50,3,3.1610,6.3220,0.0190,0.1579,0.3158,0.0009474,,
12,2/13/2019,4-10,0,,,,,,,no suction,
12,2/13/2019,4-30,6,0.7518,1.5036,0.0090,0.3072,0.6144,0.0036864,,
12,2/13/2019,4-50,0,,,,,,,,
12,2/13/2019,5-10,12,0.6564,1.3128,0.0158,0.1927,0.3854,0.0046248,,
12,2/13/2019,5-30,0,,,,,,,no suction,
12,2/13/2019,5-50,0,,,,,,,no suction,
12,2/13/2019,6-10,14,0.4441,0.8882,0.0124,0.2303,0.4606,0.0064484,,
12,2/13/2019,6-30,3,1.8960,3.7920,0.0114,0.3757,0.7514,0.0022542,,
12,2/13/2019,6-50,4,2.1090,4.2180,0.0169,0.3434,0.6868,0.0027472,,
12,2/26/2019,1-10,0,,,,,,,,
12,2/26/2019,1-30,0,,,,,,,no suction,
12,2/26/2019,1-50,0,,,,,,,no suction,
12,2/26/2019,2-10,0,,,,,,,,
12,2/26/2019,2-30,0,,,,,,,no suction,
12,2/26/2019,2-50,5,2.5540,5.1080,0.0255,1.0110,2.0220,0.01011,,
12,2/26/2019,3-10,0,,,,,,,,
12,2/26/2019,3-30,<1,,,,,,,less than,
12,2/26/2019,3-50,0,,,,,,,no suction,
12,2/26/2019,4-10,0,,,,,,,no suction,
12,2/26/2019,4-30,0,,,,,,,,
12,2/26/2019,4-50,0,,,,,,,no suction,
12,2/26/2019,5-10,3.5,4.2830,8.5660,0.0300,0.2120,0.4240,0.001484,,
12,2/26/2019,5-30,12,0.8124,1.6248,0.0195,0.1633,0.3266,0.0039192,,
12,2/26/2019,,0,,,,,,,no suction,
12,2/26/2019,6-10,4,2.8410,5.6820,0.0227,0.4146,0.8292,0.0033168,,
12,2/26/2019,6-30,0,,,,,,,no suction,
12,2/26/2019,6-50,0,,,,,,,no suction,
12,3/14/2019,1-10,0,,,,,,,no vacuum,
12,3/14/2019,1-30,4,0.9554,1.9108,0.0076,0.3251,0.6502,0.0026008,,
12,3/14/2019,1-50,0,,,,,,,no vacuum,
12,3/14/2019,2-10,7,0.8659,1.7318,0.0121,0.4871,0.9742,0.0068194,,
12,3/14/2019,2-30,0,,,,,,,no vacuum,
12,3/14/2019,2-50,<1,,,,,,,less than,
12,3/14/2019,3-10,0,,,,,,,no vacuum,
12,3/14/2019,3-30,15,0.8126,1.6252,0.0244,0.1244,0.2488,0.003732,,
12,3/14/2019,3-50,11,1.5540,3.1080,0.0342,0.1853,0.3706,0.0040766,,
12,3/14/2019,4-10,0,,,,,,,no vacuum,
12,3/14/2019,4-30,3,,,,,,,,
12,3/14/2019,4-50,0,,,,,,,no vacuum,
12,3/14/2019,5-10,0,,,,,,,no vacuum,
12,3/14/2019,5-30,18,0.9383,1.8766,0.0338,0.1049,0.2098,0.0037764,,
12,3/14/2019,5-50,41,0.7637,1.5274,0.0626,0.0737,0.1474,0.00604504,,
12,3/14/2019,6-10,0,,,,,,,no vacuum,
12,3/14/2019,6-30,0,,,,,,,no vacuum,
12,3/14/2019,6-50,0,,,,,,,no vacuum,
12,3/26/2019,1-10,0,,,,,,,no vacuum,
12,3/26/2019,1-30,3,,,,,,,sample lost--possibly combined w/ sample from plot 5.30,
12,3/26/2019,1-50,0,,,,,,,no vacuum,
12,3/26/2019,2-10,9,2.8440,5.6880,0.0512,0.1308,0.2616,0.0023544,,
12,3/26/2019,2-30,0,,,,,,,no vacuum,
12,3/26/2019,2-50,31,0.4492,0.8984,0.0279,0.1772,0.3544,0.0109864,,
12,3/26/2019,3-10,12,1.9820,3.9640,0.0476,0.2774,0.5548,0.0066576,,
12,3/26/2019,3-30,0,,,,,,,no vacuum,
12,3/26/2019,3-50,0,,,,,,,no vacuum,
12,3/26/2019,4-10,0,,,,,,,no vacuum,
12,3/26/2019,4-30,7,3.3850,6.7700,0.0474,0.1504,0.3008,0.0021056,,
12,3/26/2019,4-50,0,,,,,,,no vacuum,
12,3/26/2019,5-10,0,,,,,,,no vacuum,
12,3/26/2019,5-30,30,,,,,,,Sample had to be thrown out--believe it was accidentally combined with 1.30 sample,
12,3/26/2019,5-50,0,,,,,,,no vacuum,
12,3/26/2019,6-10,15,0.6788,1.3576,0.0204,0.3125,0.6250,0.009375,,
12,3/26/2019,6-30,3,,,,,,,,
12,3/26/2019,6-50,0,,,,,,,no vacuum,
13,4/9/2019,1-10,0,,,,,,,no vacuum,
13,4/9/2019,1-30,1,,,,,,,"vacuum present, no sample collected (sample too small), less than",
13,4/9/2019,1-50,0,,,,,,,no vacuum,
13,4/9/2019,2-10,0,,,,,,,vacuum present,
13,4/9/2019,2-30,0,,,,,,,no vacuum,
13,4/9/2019,2-50,0,,,,,,,no vacuum,
13,4/9/2019,3-10,1,,,,,,,"vacuum present, no sample collected (sample too small), less than",
13,4/9/2019,3-30,1,,,,,,,"vacuum present, no sample collected (sample too small), less than",
13,4/9/2019,3-50,1,,,,,,,"vacuum present, no sample collected (sample too small), less than",
13,4/9/2019,4-10,0,,,,,,,no vacuum,
13,4/9/2019,4-30,0,,,,,,,no vacuum,
13,4/9/2019,4-50,0,,,,,,,no vacuum,
13,4/9/2019,5-10,0,,,,,,,no vacuum,
13,4/9/2019,5-30,0,,,,,,,vacuum present,
13,4/9/2019,5-50,1,,,,,,,"vacuum present, small sample collected, less than",
13,4/9/2019,6-10,1,,,,,,,"vacuum present, small sample collected, less than",
13,4/9/2019,6-30,0,,,,,,,no vacuum,
13,4/9/2019,6-50,0,,,,,,,no vacuum,
13,4/24/2019,1-10,0,,,,,,,,
13,4/24/2019,1-30,0,,,,,,,,
13,4/24/2019,1-50,0,,,,,,,no vacuum,
13,4/24/2019,2-10,0,,,,,,,,
13,4/24/2019,2-30,0,,,,,,,no vacuum,
13,4/24/2019,2-50,0,,,,,,,,
13,4/24/2019,3-10,6,2.2710,4.5420,0.0273,0.1418,0.2836,0.0017016,,
13,4/24/2019,3-30,<1,,,,,,,"sample not collected, less than",
13,4/24/2019,3-50,0,,,,,,,,
13,4/24/2019,4-10,0,,,,,,,no vacuum,
13,4/24/2019,4-30,<1,,,,,,,"sample not collected, less than",
13,4/24/2019,4-50,0,,,,,,,no vacuum,
13,4/24/2019,5-10,1,,,,,,,,
13,4/24/2019,5-30,<1,,,,,,,"sample not collected, less than",
13,4/24/2019,5-50,4,2.8580,5.7160,0.0229,0.1526,0.3052,0.0012208,,
13,4/24/2019,6-10,10,1.4840,2.9680,0.0297,0.2302,0.4604,0.004604,,
13,4/24/2019,6-30,0,,,,,,,slight vacuum,
13,4/24/2019,6-50,10,1.6560,3.3120,0.0331,0.3803,0.7606,0.007606,,
13,5/7/2019,1-10,1,,,,,,,"not collected, less than",
13,5/7/2019,1-30,14,0.5433,1.0866,0.0152,0.1498,0.2996,0.0041944,,
13,5/7/2019,1-50,0,,,,,,,"prop fallen out, low vacuum",
13,5/7/2019,2-10,4,,,,,,,,
13,5/7/2019,2-30,~1,,,,,,,collected,
13,5/7/2019,2-50,16,0.6039,1.2078,0.0193,0.2710,0.5420,0.008672,,
13,5/7/2019,3-10,11,1.6460,3.2920,0.0362,0.1317,0.2634,0.0028974,,
13,5/7/2019,3-30,5,2.5610,5.1220,0.0256,0.1204,0.2408,0.001204,,
13,5/7/2019,3-50,16,2.4270,4.8540,0.0777,0.1499,0.2998,0.0047968,,
13,5/7/2019,4-10,0,,,,,,,no vacuum,
13,5/7/2019,4-30,14,0.5236,1.0472,0.0147,0.0960,0.1920,0.002688,,
13,5/7/2019,4-50,0,,,,,,,low vacuum,
13,5/7/2019,5-10,0,,,,,,,no vacuum,
13,5/7/2019,5-30,8,3.5660,7.1320,0.0571,0.1523,0.3046,0.0024368,,
13,5/7/2019,5-50,19,0.6648,1.3296,0.0253,0.0764,0.1527,0.0029013,,
