date,direction,location,plot,LAI,msmt_type,treatment,group
3/31/2021,center,outside,WS,5.54,center,weather station,weather station
4/22/2021,west,outside,WS,5.58,original,weather station,weather station
4/22/2021,center,outside,WS,5.31,center,weather station,weather station
5/20/2021,west,outside,WS,5.6,original,weather station,weather station
5/20/2021,center,outside,WS,5.31,center,weather station,weather station
7/22/2021,west,outside,WS,6.07,original,weather station,weather station
7/22/2021,center,outside,WS,6.27,center,weather station,weather station
9/23/2021,west,outside,WS,6.17,original,weather station,weather station
9/23/2021,center,outside,WS,5.94,center,weather station,weather station
12/9/2021,west,outside,WS,6.95,original,weather station,weather station
12/9/2021,center,outside,WS,7.03,center,weather station,weather station
2/18/2022,west,outside,WS,5.26,original,weather station,weather station
2/18/2022,center,outside,WS,5.6,center,weather station,weather station
4/14/2022,west,outside,WS,5.6,original,weather station,weather station
4/14/2022,center,outside,WS,5.32,center,weather station,weather station
6/8/2022,west,outside,WS,5.15,original,weather station,weather station
6/8/2022,center,outside,WS,4.91,center,weather station,weather station
8/16/2022,west,outside,WS,5.51,original,weather station,weather station
8/16/2022,center,outside,WS,5.48,center,weather station,weather station
10/18/2022,west,outside,WS,5.07,original,weather station,weather station
10/18/2022,center,outside,WS,5.13,center,weather station,weather station
12/8/2022,west,outside,WS,5.76,original,weather station,weather station
12/8/2022,center,outside,WS,5.78,center,weather station,weather station
2/8/2023,west,outside,WS,5.76,original,weather station,weather station
2/8/2023,center,outside,WS,5.78,center,weather station,weather station
4/13/2023,west,outside,WS,4.86,original,weather station,weather station
4/13/2023,center,outside,WS,4.92,center,weather station,weather station
6/27/2023,west,outside,WS,5.56,original,weather station,weather station
6/27/2023,center,outside,WS,5.44,center,weather station,weather station
9/8/2023,west,outside,WS,4.35,original,weather station,weather station
9/8/2023,center,outside,WS,5.78,center,weather station,weather station
11/14/2023,west,outside,WS,5.78,original,weather station,weather station
11/14/2023,center,outside,WS,5.8,center,weather station,weather station
1/17/2024,west,outside,WS,5.7,original,weather station,weather station
1/17/2024,center,outside,WS,5.37,center,weather station,weather station
3/15/2024,west,outside,WS,5.5,original,weather station,weather station
3/15/2024,center,outside,WS,5.88,center,weather station,weather station
5/10/2024,west,outside,WS,5.14,original,weather station,weather station
5/10/2024,center,outside,WS,5.39,center,weather station,weather station
8/9/2024,west,outside,WS,5.51,original,weather station,weather station
8/9/2024,center,outside,WS,5.23,center,weather station,weather station
10/22/2024,west,outside,WS,5.25,original,weather station,weather station
10/22/2024,center,outside,WS,5.49,center,weather station,weather station
